"cidade";"ID"
"Porto Velho (RO)";"EMEF 04 DE AGOSTO (11003677)"
"Porto Velho (RO)";"EMEF CORA CORALINA (11003693)"
"Porto Velho (RO)";"EMEF OLYMPIA SALVATORE RIBEIRO (11003774)"
"Porto Velho (RO)";"EMEIEF SAO MIGUEL (11037482)"
"Porto Velho (RO)";"EMEIEF CHAPEUZINHO VERMELHO (11037512)"
"Porto Velho (RO)";"EMEIEF PROGRESSO (11037539)"
"Porto Velho (RO)";"EMEF JOSE RODRIGUES (11037580)"
"Porto Velho (RO)";"EMEF SANTA CLARA DE ASSIS (11037598)"
"Porto Velho (RO)";"EMEF PROF PEDRO TAVARES BATALHA (11037636)"
"Porto Velho (RO)";"EMEF RAIMUNDO AGOSTINHO DA SILVA (11037644)"
"Porto Velho (RO)";"EMEF NOSSA SENHORA DE NAZARE (11037652)"
"Porto Velho (RO)";"EMEF TANCREDO NEVES (11037725)"
"Porto Velho (RO)";"EMEI MEU PEQUENO JONES (11037733)"
"Porto Velho (RO)";"EMEF AMAZONAS (11037814)"
"Porto Velho (RO)";"EMEIF ULISSES SOARES FERREIRA (11037865)"
"Porto Velho (RO)";"EMEIEF JOAQUIM VICENTE RONDON (11037881)"
"Porto Velho (RO)";"EMEF UNIAO DA VITORIA (11038039)"
"Porto Velho (RO)";"EMEF VISTA ALEGRE (11040440)"
"Porto Velho (RO)";"EMEF MENINO JESUS (11040475)"
"Porto Velho (RO)";"EMEF BOA ESPERANCA (11040483)"
"Porto Velho (RO)";"EMEF VITORIA REGIA (11040491)"
"Porto Velho (RO)";"EMEF NOSSA SENHORA APARECIDA (11040505)"
"Porto Velho (RO)";"EMEF RIO VERDE (11040548)"
"Porto Velho (RO)";"EMEIEF PROF MARIA JACIRA FEITOSA DE CARVALHO (11040556)"
"Porto Velho (RO)";"EMEF COM FE EM DEUS (11040580)"
"Porto Velho (RO)";"EMEF NOVO ORIENTE (11040610)"
"Porto Velho (RO)";"EMEIEF SENADOR DARCY RIBEIRO (11040920)"
"Porto Velho (RO)";"EMEIEF AREAL DA FLORESTA (11041048)"
"Porto Velho (RO)";"EMEI MORANGUINHO (11041056)"
"Porto Velho (RO)";"EMEIEF ALEGRIA (11041064)"
"Porto Velho (RO)";"EMEF NOVA ESPERANCA (11041765)"
"Porto Velho (RO)";"EMEF PAU BRASIL (11043881)"
"Porto Velho (RO)";"EMEIEF SANTA MARGARIDA (11043938)"
"Porto Velho (RO)";"EMEIEF JESUS DE NAZARE (11043989)"
"Porto Velho (RO)";"EMEF RIO PARDO (11043997)"
"Porto Velho (RO)";"EMEI MOISES FERREIRA NETO (11044004)"
"Porto Velho (RO)";"EMEI CANTO DO UIRAPURU (11044012)"
"Porto Velho (RO)";"EMEF MANOEL APARICIO NUNES ALMEIDA (11045167)"
"Porto Velho (RO)";"EMEF JOAO RIBEIRO SOARES (11045175)"
"Porto Velho (RO)";"EMEF FRANCISCO JOSE CHIQUILITO COIMBRA ERSE (11045809)"
"Porto Velho (RO)";"EMEF JOSE DE FREITAS (11045825)"
"Porto Velho (RO)";"EMEF JERUSALEM DA AMAZONIA (11045868)"
"Porto Velho (RO)";"EMEF ERNANDES COUTINHO (11045884)"
"Porto Velho (RO)";"EMEIEF 03 DE DEZEMBRO (11045892)"
"Porto Velho (RO)";"EMEF BEM AVENTURANCA (11046589)"
"Porto Velho (RO)";"EMEF RIACHO AZUL (11046651)"
"Porto Velho (RO)";"EMEF FLOR DO CUPUACU (11046660)"
"Porto Velho (RO)";"EMEIEF VOVO HELENA (11047178)"
"Porto Velho (RO)";"EMEIEF GUADALUPE (11047682)"
"Porto Velho (RO)";"EMEF FRANCISCO SALES DE OLIVEIRA (11047690)"
"Porto Velho (RO)";"EMEIEF AUTA DE SOUZA (11047739)"
"Porto Velho (RO)";"EMEIEF MARIA CASAROTO ABATI (11047780)"
"Porto Velho (RO)";"EMEF FLOR DO AMAZONAS (11047836)"
"Porto Velho (RO)";"EMEIEF JORNALISTA FERNANDO ESCARIZ (11047895)"
"Porto Velho (RO)";"EMEIEF ESPERANCA (11047909)"
"Porto Velho (RO)";"EMEIEF 12 DE OUTUBRO (11047925)"
"Porto Velho (RO)";"EMEIEF PEQUENO POLEGAR (11047933)"
"Porto Velho (RO)";"EMEIEF FLAMBOYANT (11048280)"
"Porto Velho (RO)";"EMEIEF PADRE GEOVANI MENDES (11048298)"
"Porto Velho (RO)";"EMEIEF CASTANHEIRA (11048301)"
"Porto Velho (RO)";"EMEIEF FLOR DO PIQUIA (11048310)"
"Porto Velho (RO)";"EMEIEF TUCUMA (11048328)"
"Porto Velho (RO)";"EMEF RENATA AMANDA (11048336)"
"Porto Velho (RO)";"EMEIEF BROTO DO ACAI (11048484)"
"Porto Velho (RO)";"EMEIEF COR DE JAMBO (11048492)"
"Porto Velho (RO)";"EMEIEF FRANCISCO ELENILSON NEGREIROS (11048506)"
"Porto Velho (RO)";"EMEIEF ENCANTO DO IPE (11048514)"
"Porto Velho (RO)";"EMEI SEMENTES DO ARACA (11048522)"
"Porto Velho (RO)";"EMEIEF VOO DA JURITI (11048530)"
"Porto Velho (RO)";"EMEIEF KHRYS DAMARIS (11048549)"
"Porto Velho (RO)";"EMEIEF FLOR DE LARANJEIRA (11048875)"
"Porto Velho (RO)";"EMEIEF NOSSA SENHORA DO AMPARO (11048883)"
"Porto Velho (RO)";"EMEIEF LAR DA CRIANCA (11049120)"
"Porto Velho (RO)";"EMEIEF MIGUEL FERREIRA (11049146)"
"Porto Velho (RO)";"EMEI ABC DE JACI (11049154)"
"Porto Velho (RO)";"EMEF PROFESSORA JOELMA RODRIGUES DOS SANTOS (11049162)"
"Porto Velho (RO)";"EMEF ELY BEZERRA DE SALLES (11049170)"
"Porto Velho (RO)";"EMEI ENCANTOS DE MUTUM (11049189)"
"Porto Velho (RO)";"EMEIEF BILINGUE PORTO VELHO (11049332)"
"Porto Velho (RO)";"EMEI COSME E DAMIAO (11049570)"
"Porto Velho (RO)";"EMEI EDUARDO VALVERDE ARAUJO ALVES (11049588)"
"Porto Velho (RO)";"EMEI MAE MARGARIDA (11049596)"
"Porto Velho (RO)";"EMEI SAO LUIZ GONZAGA (11049618)"
